0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
1) 3d:3.80865 -0.864168 -8.55261      2d: 285.318 922.232
2) 3d:4.75229 -2.09966 -8.4098      2d: 168.763 1070.02
3) 3d:4.62281 0.322609 -8.16531      2d: 171.212 783.183
4) 3d:4.21833 1.50383 -8.17527      2d: 220.596 640.396
5) 3d:3.82342 -1.43122 -8.64753      2d: 287.235 986.247
6) 3d:3.36553 0.879389 -8.59215      2d: 337.673 720.736
7) 3d:3.56123 -3.89883 -9.09931      2d: 332.052 1247.34
8) 3d:3.34895 -1.54253 -8.83446      2d: 347.313 995.289
9) 3d:4.16214 -1.70534 -8.49544      2d: 241.987 1021.08
10) 3d:3.28325 -0.961866 -9.01996      2d: 359.835 927.769
11) 3d:4.73936 -2.23352 -8.43766      2d: 171.719 1084.64
12) 3d:3.88877 -0.414591 -8.44471      2d: 271.75 870.975
13) 3d:2.84075 -4.24301 -9.3437      2d: 416.017 1273.3
14) 3d:3.26994 -1.1527 -9.00593      2d: 360.927 948.696
15) 3d:4.0756 0.480614 -8.27012      2d: 242.194 764.794
16) 3d:3.43551 -0.850642 -8.78152      2d: 335.861 918.058
17) 3d:4.13379 -3.37853 -8.69652      2d: 253.828 1207.65
18) 3d:4.71242 -0.832742 -8.27267      2d: 166.203 922.005
19) 3d:4.00718 2.25608 -7.98835      2d: 237.608 542.941
20) 3d:2.73903 2.28165 -8.70551      2d: 412.229 562.556
21) 3d:0.877664 -0.884392 -9.1235      2d: 624.394 917.796
22) 3d:4.12553 -0.65909 -8.43101      2d: 243.415 899.902
23) 3d:4.01057 -1.45995 -8.53429      2d: 261.238 991.703
24) 3d:4.58398 -3.16147 -8.58929      2d: 197.378 1187.14
25) 3d:4.39074 -3.35096 -8.57399      2d: 219.022 1209.89
26) 3d:3.92926 -1.36865 -8.54754      2d: 271.191 980.733
27) 3d:4.39246 0.311597 -8.22355      2d: 202.01 784.71
28) 3d:3.99152 -0.75099 -8.52911      2d: 263.165 909.224
29) 3d:3.33541 -1.61764 -8.96026      2d: 352.495 1001.14
30) 3d:1.0277 -0.885917 -8.84385      2d: 607.956 920.761
31) 3d:3.76427 -0.292854 -8.46156      2d: 286.97 856.271
32) 3d:4.11377 -1.59695 -8.50029      2d: 247.829 1008.37
33) 3d:4.26178 -3.39992 -8.66353      2d: 237.824 1211.62
34) 3d:3.68112 -3.84975 -8.99761      2d: 315.694 1246.86
35) 3d:3.93033 -1.6835 -8.61291      2d: 273.657 1015.8
36) 3d:1.88423 0.678088 -8.91762      2d: 512.25 746.462
37) 3d:3.7678 1.74306 -8.19026      2d: 275.673 611.972
38) 3d:3.31596 -1.20681 -8.98014      2d: 355.14 955.068
39) 3d:4.0656 0.365245 -8.29185      2d: 244.353 778.501
40) 3d:3.56705 -2.48804 -8.92428      2d: 325.81 1098.56
41) 3d:4.6496 -0.199685 -8.22419      2d: 171.129 846.143
42) 3d:1.94943 -4.13597 -9.70679      2d: 514.579 1245.47
43) 3d:3.88807 0.0331132 -8.35543      2d: 268.189 818.321
44) 3d:3.12804 1.23619 -8.64735      2d: 366.547 680.631
45) 3d:4.07018 -1.4965 -8.53691      2d: 254.428 995.913
46) 3d:3.85307 -1.67582 -8.64342      2d: 283.699 1014.21
47) 3d:3.83357 -0.196322 -8.42512      2d: 277.422 845.037
48) 3d:4.73797 -0.0664333 -8.19628      2d: 158.981 830.469
49) 3d:3.29824 -1.51916 -8.99967      2d: 357.709 989.62
